Show,Season,US viewers (millions)
Breaking Bad,1,1.23
Breaking Bad,2,1.3061538461538462
Breaking Bad,3,1.5169230769230768
Breaking Bad,4,1.866923076923077
Breaking Bad,5,4.315625
Game of Thrones,1,2.515
Game of Thrones,2,3.7950000000000004
Game of Thrones,3,4.965999999999999
Game of Thrones,4,6.845999999999999
Game of Thrones,5,6.88
Game of Thrones,6,7.688
Game of Thrones,7,10.26142857142857
Game of Thrones,8,11.993333333333332
The Sopranos,1,4.286666666666666
The Sopranos,2,6.505384615384615
The Sopranos,3,8.748461538461537
The Sopranos,4,10.951538461538462
The Sopranos,5,9.801538461538462
The Sopranos,6,8.25095238095238
