Show,Overall number,Season,No in Season,Title,Directed by,Written by,Original air date,US viewers (millions)
The Sopranos,1,1,1,"""The Sopranos""",David Chase,David Chase,1999-01-10,3.45
The Sopranos,2,1,2,"""46 Long""",Dan Attias,David Chase,1999-01-17,
The Sopranos,3,1,3,"""Denial, Anger, Acceptance""",Nick Gomez,Mark Saraceni,1999-01-24,
The Sopranos,4,1,4,"""Meadowlands""",John Patterson,Jason Cahill,1999-01-31,
The Sopranos,5,1,5,"""College""",Allen Coulter,James Manos Jr. and David Chase,1999-02-07,
The Sopranos,6,1,6,"""Pax Soprana""",Alan Taylor,Frank Renzulli,1999-02-14,
The Sopranos,7,1,7,"""Down Neck""",Lorraine Senna,Robin Green & Mitchell Burgess,1999-02-21,
The Sopranos,8,1,8,"""The Legend of Tennessee Moltisanti""",Tim Van Patten,Frank Renzulli and David Chase,1999-02-28,
The Sopranos,9,1,9,"""Boca""",Andy Wolk,Jason Cahill and Robin Green & Mitchell Burgess,1999-03-07,
The Sopranos,10,1,10,"""A Hit Is a Hit""",Matthew Penn,Joe Bosso and Frank Renzulli,1999-03-14,
The Sopranos,11,1,11,"""Nobody Knows Anything""",Henry J. Bronchtein,Frank Renzulli,1999-03-21,
The Sopranos,12,1,12,"""Isabella""",Allen Coulter,Robin Green & Mitchell Burgess,1999-03-28,4.19
The Sopranos,13,1,13,"""I Dream of Jeannie Cusamano""",John Patterson,David Chase,1999-04-04,5.22
The Sopranos,14,2,1,"""Guy Walks into a Psychiatrist's Office...""",Allen Coulter,Jason Cahill,2000-01-16,7.64
The Sopranos,15,2,2,"""Do Not Resuscitate""",Martin Bruestle,Robin Green & Mitchell Burgess and Frank Renzulli,2000-01-23,5.33
The Sopranos,16,2,3,"""Toodle-Fucking-Oo""",Lee Tamahori,Frank Renzulli,2000-01-30,5.6
The Sopranos,17,2,4,"""Commendatori""",Tim Van Patten,David Chase,2000-02-06,7.16
The Sopranos,18,2,5,"""Big Girls Don't Cry""",Tim Van Patten,Terence Winter,2000-02-13,5.34
The Sopranos,19,2,6,"""The Happy Wanderer""",John Patterson,Frank Renzulli,2000-02-20,5.83
The Sopranos,20,2,7,"""D-Girl""",Allen Coulter,Todd A. Kessler,2000-02-27,6.66
The Sopranos,21,2,8,"""Full Leather Jacket""",Allen Coulter,Robin Green & Mitchell Burgess,2000-03-05,6.29
The Sopranos,22,2,9,"""From Where to Eternity""",Henry J. Bronchtein,Michael Imperioli,2000-03-12,7.18
The Sopranos,23,2,10,"""Bust Out""",John Patterson,Frank Renzulli and Robin Green & Mitchell Burgess,2000-03-19,7.62
